package_name,arch,package_id,cves,errata_id,severity,errata_type,satellite_repo,source_repo
kernel-debug-modules-4.18.0-425.10.1.el8_7,x86_64,109368,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-debug-modules-extra-4.18.0-425.10.1.el8_7,x86_64,109369,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-devel-4.18.0-425.10.1.el8_7,x86_64,109366,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-doc-4.18.0-425.10.1.el8_7,noarch,109365,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-headers-4.18.0-425.10.1.el8_7,x86_64,109364,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-modules-4.18.0-425.10.1.el8_7,x86_64,109362,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-modules-extra-4.18.0-425.10.1.el8_7,x86_64,109363,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-tools-4.18.0-425.10.1.el8_7,x86_64,109359,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
kernel-tools-libs-4.18.0-425.10.1.el8_7,x86_64,109360,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
perf-4.18.0-425.10.1.el8_7,x86_64,109177,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
